0;Barbès;48.8837503197961; 2.3505571407089185
1;CergyleHaut;49.0488353651;2.01225841894
2;Poissy;48.9331642624;2.04108351097
3;La Défense;48.892005654;2.23698312382
4;CGE;48.87457323419112; 2.2955454499853687
5;Auber;;48.8720330035;2.32989763833
6;ChH; 48.85964148441771; 2.347243892740838
7;GLyon;48.845642394094625; 2.3732076759766016
8;Nation;48.84841576906278; 2.3979627134188677
9;FontenaysousBois48.8439871914;2.46469426671
10;ValdeFontenay;48.8522807561;2.48929691742
11;Torcy;48.8395971375;2.65458158118
12;MarnelaValléeChessy;48.8701677744;2.7824920526
13;Parcexposition;48.973959;2.513881
14;AulnaysousBois;48.9317113687;2.49480875208
15;GareduNord;48.8793833026;2.35637208136
16;SaintMichelNotreDame;48.8536807808;2.34424139962
17;Luxembourg;48.8460415877;2.34027772794
18;PortRoyal;48.839885166;2.33687344089
19;DenfertRochereau;48.8347981256;2.33303422361
20;Laplace;48.8078440474;2.33302280652
21;MassyPalaiseau;48.724769167;2.26002069793
22;Saint-Rémy-lès-Chevreuse;48.7028686842;2.07060021452 
23;La Défense;48.89181818920181; 2.2385822412883782
24;Pont de Neuilly;48.88482010615866; 2.2603832360971685
25;Porte Maillot;48.87782104352635; 2.2834716912748485
26;Argentine;48.875450171278345; 2.2892223473858286
27;George V; 48.87189365213352; 2.3010669823844627
28;Franklin D. Roosevelt;48.86923315420742; 2.309478389789076
29;Champs-Élysées-Clemenceau;48.86750410751058; 2.3133836861383514
30;Concorde;48.866177288308876; 2.323297130628176
31;Palais Royal-Musée du Louvre;48.862464830562764; 2.3367725487208935
32;Hôtel de Ville;48.857156807969; 2.3523079033528593
33;Bastille;48.85301108008785; 2.368657055634287
34;ReuillyDiderot;48.84732983437558; 2.3863826865776248
35;Porte de Vincennes;48.84714757281851; 2.4101814395489076
36;Château de Vincennes; 48.84429734345882; 2.440552579952245
37;Porte Dauphine;48.87180038911059;2.2778174953927275 
38;Victor Hugo;48.869912956809266; 2.2857184241565935
39;Rome ;48.882315703357534; 2.321213641499229
40;Place de Clichy;48.88363400104549; 2.3277780947507996
41;Pigalle;48.88236740198281; 2.337605120633158
42;La Chapelle;48.884344833452204; 2.360050047656548
43;Colonel Fabien;48.877998681379225; 2.3708008139548817
44;Belleville;48.8721253304;2.37739151463
45;Porte de Clignancourt;48.8995248333;2.3457061397
46;Poissonniers;48.8996770676;2.35145862494
47;Gare de l'Est;48.8757791016;2.35816927064
48;Strasbourg;48.869228;2.354529
49;Odéon;48.8521980452;2.33878000304
50;Montparnasse;48.8386880513;2.31672265993
51;Mairie de Montrouge;48.81846643;2.32028289301
52;Balard;48.8364552707;2.27824807839
53;Invalides;48.8629447923;2.31423389515
54;Madeleine;48.8695789706;2.32416248879
55;Bonne-Nouvelle;48.8704958323;2.34886211744
56;République; 48.86705242821445; 2.3636160965955657
57;Porte Dorée;48.8354972528;2.40618521221
58;Maisons-Alfort-Stade;48.8082253474;2.43627582105 
59;Créteil;48.7797572578;2.45931429108
60;Place des Fêtes;48.87670618295766; 2.3927985305915866
61;Mairie des Lilas;48.87969790424993; 2.4162303084766266
62;CDG2TGV;49.0041985875;2.57094642402
